source_image,page_index,name,hp,evolves_from,ability_name,ability_text,attacks,set_name,set_code,card_number,artist,weakness,resistance,retreat,notes,page_sha1,ocr_len,parse_warnings
/var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_t89veh_x/FirstScan/FirstScan_page_002.png,1,Stufful,70,,,,,,,,,,,,,69adb794dcef0deaf519a8cb6dcbeaf3f8b8bd03,0,"artist_missing,card_number_missing"
/var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_t89veh_x/FirstScan/FirstScan_page_004.png,2,Meteorite Pokémon,50,,,,,,,,,,,,,e6f65b23bbf32d567ad919d57597f946bf43fa33,0,"artist_missing,card_number_missing"
/var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_t89veh_x/FirstScan/FirstScan_page_006.png,3,Centiskorch,140,,,,,,,,,,,,,ca73275ecea025911bcf6a2f0ac9011fd8efe27a,0,"artist_missing,card_number_missing"
/var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_t89veh_x/FirstScan/FirstScan_page_008.png,4,Mystery Garden,,,,,,,,,,,,,,ac0d18203702c3f2d97873b1e7d7fed055f6b5a7,0,"hp_missing,artist_missing,card_number_missing"
/var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_t89veh_x/FirstScan/FirstScan_page_010.png,5,Shedinja,60,,,,,,,,,,,,,ae58a3e0c3fca9067624da708b64c1540aa22b9d,0,"artist_missing,card_number_missing"
/var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_t89veh_x/FirstScan/FirstScan_page_012.png,6,Cinderace,160,,,,,,,,,,,,,1797d99ec8ec3f26e769a8034fea22f64a468487,0,"artist_missing,card_number_missing"
/var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_t89veh_x/FirstScan/FirstScan_page_014.png,7,Cinderace,160,,,,,,,,,,,,,b826a628ae791b28993397797db26799c25a9d33,0,"artist_missing,card_number_missing"
/var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_t89veh_x/FirstScan/FirstScan_page_016.png,8,Zeraora,110,,,,,,,,,,,,,24e654d0311f862461d0c677c654298136e72975,0,"artist_missing,card_number_missing"
/var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_t89veh_x/FirstScan/FirstScan_page_018.png,9,Magnemite,30,,,,,,,,,,,,,dd5c036c6e7de9cbd9ae55fd4ec609c5d888feb6,0,"artist_missing,card_number_missing"
/var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_t89veh_x/FirstScan/FirstScan_page_020.png,10,Lt. Surge's Bargain,,,,,,,,,,,,,,a0f93c67d70a717427c1c83baed43bae4fed920a,0,"hp_missing,artist_missing,card_number_missing"
/var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_t89veh_x/FirstScan/FirstScan_page_022.png,11,Spearow,60,,,,,,,,,,,,,9858a396e3037f49bfda3421ddaf64723999a03d,0,"artist_missing,card_number_missing"
/var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_t89veh_x/FirstScan/FirstScan_page_024.png,12,Magneton,90,,,,,,,,,,,,,5a154e7f04587e516022f24df3337aabf69a27c3,0,"artist_missing,card_number_missing"
