source_image,page_index,name,hp,evolves_from,ability_name,ability_text,attacks,set_name,set_code,card_number,artist,weakness,resistance,retreat,notes,rarity,quantity,est_grade,page_sha1,ocr_len,parse_warnings
/var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_f1pfjbvs/FirstScan/FirstScan_page_002.png,1,Stufful,70,,,,"[{""name"": ""Light Punch"", ""cost"": [""Colorless""], ""damage"": ""10"", ""text"": """"}, {""name"": ""Flop"", ""cost"": [""Colorless""], ""damage"": ""20"", ""text"": """"}]",Unknown,MEG,111/132,Shibuzoh,Fighting ×2,,Colorless,"{""unreadable"": [], ""stage"": ""Basic"", ""types"": [""Colorless""], ""setboxLetters"": ""MEG"", ""isPromo"": false, ""printYear"": 2025, ""layout"": ""pokemon""}",,1,,69adb794dcef0deaf519a8cb6dcbeaf3f8b8bd03,0,
/var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_f1pfjbvs/FirstScan/FirstScan_page_004.png,2,Lunatone,,,Lunar Cycle,"Once during your turn, if you have Solrock in play, you may discard a Basic Energy card from your hand in order to use this Ability. Draw 3 cards. You can't use more than 1 Lunar Cycle Ability each turn.",,Meteorite Pokémon,,033/XY,5ban Graphics,,,,"{""unreadable"": [""set.name"", ""set.code"", ""printYear""], ""stage"": ""Basic"", ""types"": [""Psychic""], ""isPromo"": false, ""layout"": ""trainer"", ""remoteWarnings"": {""unreadable"": [""printYear"", ""set.code"", ""set.name""]}}",,1,,e6f65b23bbf32d567ad919d57597f946bf43fa33,418,"fallback:artist_missing,fallback:card_number_missing,fallback:hp_missing,hp_missing,remote_unreadable:printYear,remote_unreadable:set.code,remote_unreadable:set.name"
/var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_f1pfjbvs/FirstScan/FirstScan_page_006.png,3,Centiskorch,,Sizzlipede,,,,Inca],MEG,030/132,Shiburingar,Water ×2,,Colorless,"{""unreadable"": [], ""stage"": ""Stage 1"", ""types"": [""Fire""], ""setboxLetters"": ""MEG"", ""isPromo"": false, ""printYear"": 2025, ""layout"": ""trainer"", ""fallbackSuggestions"": {""name"": ""eA"", ""artist"": ""OCS eyes"", ""set_code"": ""OCS""}}",,1,,ca73275ecea025911bcf6a2f0ac9011fd8efe27a,242,"fallback:artist_missing,fallback:card_number_missing,fallback:hp_missing,hp_missing"
/var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_f1pfjbvs/FirstScan/FirstScan_page_008.png,4,Mystery Garden,,,,,,,MEG,122/132,Ayumi Odashima,,,,"{""unreadable"": [], ""setboxLetters"": ""EN"", ""isPromo"": false, ""printYear"": 2025, ""layout"": ""trainer""}",,1,,ac0d18203702c3f2d97873b1e7d7fed055f6b5a7,259,"fallback:artist_missing,fallback:card_number_missing,fallback:hp_missing,hp_missing"
/var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_f1pfjbvs/FirstScan/FirstScan_page_010.png,5,Shedinja,,Nincada,Fragile Husk,"If this Pokémon is Knocked Out by damage from an attack from your opponent's Pokémon ex, your opponent can't take any Prize cards for it.",,Mega Evolution,MEG,061/132,IKEDA Saki,Psychic ×2,Fighting -30,Colorless,"{""unreadable"": [], ""stage"": ""Stage 1"", ""types"": [""Grass""], ""setboxLetters"": ""MEG"", ""isPromo"": false, ""printYear"": 2025, ""layout"": ""trainer"", ""fallbackSuggestions"": {""name"": ""se cae f ee L"", ""artist"": ""OGD cae cieare body nnd"", ""set_code"": ""OGD""}}",,1,,ae58a3e0c3fca9067624da708b64c1540aa22b9d,0,hp_missing
/var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_f1pfjbvs/FirstScan/FirstScan_page_012.png,6,Cinderace,,Raboot,Explosiveness,"If this Pokémon is in your hand when you are setting up to play, you may put it face down in the Active Spot.",,Sword & Shield,SSH,028/132,REND,Water ×2,,Colorless,"{""unreadable"": [], ""stage"": ""Stage 2"", ""types"": [""Fire""], ""setboxLetters"": ""MEG"", ""isPromo"": false, ""printYear"": 2023, ""layout"": ""trainer"", ""fallbackSuggestions"": {""set_code"": ""REND""}}",,1,,1797d99ec8ec3f26e769a8034fea22f64a468487,0,hp_missing
/var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_f1pfjbvs/FirstScan/FirstScan_page_014.png,7,Cinderace,,Raboot,Striker,"If this Pokémon is in your hand when you are setting up to play, you may put it face down in the Active Spot.",,Not Specified,MEG,028/132,REND,Water ×2,,Colorless,"{""unreadable"": [], ""stage"": ""Stage 2"", ""types"": [""Fire""], ""setboxLetters"": ""MEG"", ""isPromo"": false, ""printYear"": 2025, ""layout"": ""trainer"", ""fallbackSuggestions"": {""name"": ""jt"", ""artist"": ""HRENO} itsico Oomm: -""}}",,1,,b826a628ae791b28993397797db26799c25a9d33,0,hp_missing
/var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_f1pfjbvs/FirstScan/FirstScan_page_016.png,8,Zeraora,,,,,,Thunder,,024/189,5ban Graphics,,,Colorless,"{""unreadable"": [], ""stage"": ""Basic"", ""types"": [""Lightning""], ""isPromo"": false, ""printYear"": 2020, ""layout"": ""trainer""}",,1,,24e654d0311f862461d0c677c654298136e72975,146,"fallback:artist_missing,fallback:card_number_missing,fallback:hp_missing,hp_missing"
/var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_f1pfjbvs/FirstScan/FirstScan_page_018.png,9,Magnemite,,,,,,,,008/130,,,,,"{""unreadable"": [""set.name"", ""set.code"", ""setboxLetters"", ""printYear"", ""illustrator"", ""text.attacks[0].text""], ""stage"": ""Basic"", ""types"": [""Lightning""], ""isPromo"": false, ""layout"": ""trainer"", ""remoteWarnings"": {""unreadable"": [""illustrator"", ""printYear"", ""set.code"", ""set.name"", ""setboxLetters"", ""text.attacks[0].text""]}, ""fallbackSuggestions"": {""attacks"": ""[{\""name\"": \""Tighe ater deseaee tire SNe Soi oy i\\nSiar enn ela eae Sie la eae\\nAE rane nernspeenegl? lf Tf he\\nae 2S eae\"", \""cost\"": [], \""damage\"": \""\"", \""text\"": \""\""}]""}}",,1,,dd5c036c6e7de9cbd9ae55fd4ec609c5d888feb6,91,"artist_missing,fallback:artist_missing,fallback:card_number_missing,fallback:hp_missing,hp_missing,remote_unreadable:illustrator,remote_unreadable:printYear,remote_unreadable:set.code,remote_unreadable:set.name,remote_unreadable:setboxLetters,remote_unreadable:text.attacks[0].text"
/var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_f1pfjbvs/FirstScan/FirstScan_page_020.png,10,Lt. Surge's Bargain,,,,,,tise,MEG,120/132,Hideki Ishikawa,,,,"{""unreadable"": [], ""isPromo"": false, ""printYear"": 2025, ""layout"": ""trainer"", ""fallbackSuggestions"": {""artist"": ""Ne eee"", ""set_code"": ""OU""}}",,1,,a0f93c67d70a717427c1c83baed43bae4fed920a,301,"fallback:artist_missing,fallback:card_number_missing,fallback:hp_missing,hp_missing"
