source_image,page_index,card_type,name,hp,evolves_from,ability_name,ability_text,attacks,set_name,set_code,card_number,artist,weakness,resistance,retreat,notes,rarity,quantity,est_grade,page_sha1,ocr_len,parse_warnings
/var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_4e89dxw8/FirstScan/FirstScan_page_002.png,1,pokemon,Stufful,70,,,,"[{""name"": ""Light Punch"", ""cost"": [""Colorless""], ""damage"": ""10"", ""text"": """"}, {""name"": ""Flop"", ""cost"": [""Colorless""], ""damage"": ""20"", ""text"": """"}]",Mega Evolution,MEG,111/132,Shibuzoh,Fighting ×2,,Colorless,"{""unreadable"": [], ""stage"": ""Basic"", ""types"": [""Colorless""], ""setboxLetters"": ""I"", ""isPromo"": false, ""printYear"": 2025, ""layout"": ""pokemon"", ""cardType"": ""pokemon""}",,1,,69adb794dcef0deaf519a8cb6dcbeaf3f8b8bd03,0,
/var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_4e89dxw8/FirstScan/FirstScan_page_004.png,2,trainer,Lunatone,,,Lunar Cycle,"Once during your turn, if you have Solrock in play, you may discard a Basic Energy card from your hand in order to use this Ability. Draw 3 cards. You can't use more than 1 Lunar Cycle Ability each turn.",,Meteorite Pokémon,,033/XY,5ban Graphics,,,,"{""unreadable"": [""set.name"", ""printYear"", ""setboxLetters""], ""stage"": ""Basic"", ""types"": [""Psychic""], ""isPromo"": false, ""layout"": ""trainer"", ""remoteWarnings"": {""unreadable"": [""printYear"", ""set.name"", ""setboxLetters""]}, ""cardType"": ""trainer""}",,1,,e6f65b23bbf32d567ad919d57597f946bf43fa33,418,"fallback:artist_missing,fallback:card_number_missing,fallback:hp_missing,remote_unreadable:printYear,remote_unreadable:set.name,remote_unreadable:setboxLetters"
/var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_4e89dxw8/FirstScan/FirstScan_page_006.png,3,trainer,Centiskorch,,Sizzlipede,,,,Inca],MEG,030/132,Shiburingar,Water ×2,,Colorless,"{""unreadable"": [], ""stage"": ""Stage 1"", ""types"": [""Fire""], ""setboxLetters"": ""MEG"", ""isPromo"": false, ""printYear"": 2025, ""layout"": ""trainer"", ""fallbackSuggestions"": {""name"": ""eA"", ""artist"": ""OCS eyes"", ""set_code"": ""OCS""}, ""cardType"": ""trainer""}",,1,,ca73275ecea025911bcf6a2f0ac9011fd8efe27a,242,"fallback:artist_missing,fallback:card_number_missing,fallback:hp_missing"
/var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_4e89dxw8/FirstScan/FirstScan_page_008.png,4,trainer,Mystery Garden,,,,,,,MEG,122/132,Ayumi Odashima,,,,"{""unreadable"": [], ""setboxLetters"": ""MEG"", ""isPromo"": false, ""printYear"": 2025, ""layout"": ""trainer"", ""cardType"": ""trainer""}",,1,,ac0d18203702c3f2d97873b1e7d7fed055f6b5a7,259,"fallback:artist_missing,fallback:card_number_missing,fallback:hp_missing"
/var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_4e89dxw8/FirstScan/FirstScan_page_010.png,5,trainer,Shedinja,,Nincada,Fragile Husk,"If this Pokémon is Knocked Out by damage from an attack from your opponent's Pokémon ex, your opponent can't take any Prize cards for it.",,Mega Evolution,MEG,061/132,IKEDA Saki,Psychic ×2,Fighting -30,Colorless,"{""unreadable"": [], ""stage"": ""Stage 1"", ""types"": [""Grass""], ""setboxLetters"": ""MEG"", ""isPromo"": false, ""printYear"": 2025, ""layout"": ""trainer"", ""fallbackSuggestions"": {""name"": ""se cae f ee L"", ""artist"": ""OGD cae cieare body nnd"", ""set_code"": ""OGD""}, ""cardType"": ""trainer""}",,1,,ae58a3e0c3fca9067624da708b64c1540aa22b9d,0,
/var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_4e89dxw8/FirstScan/FirstScan_page_012.png,6,trainer,Cinderace,,Raboot,Explosiveness,"If this Pokémon is in your hand when you are setting up to play, you may put it face down in the Active Spot.",,Sword & Shield,SSH,028/132,REND,Water ×2,,Colorless,"{""unreadable"": [], ""stage"": ""Stage 2"", ""types"": [""Fire""], ""setboxLetters"": ""MEG"", ""isPromo"": false, ""printYear"": 2023, ""layout"": ""trainer"", ""fallbackSuggestions"": {""set_code"": ""REND""}, ""cardType"": ""trainer""}",,1,,1797d99ec8ec3f26e769a8034fea22f64a468487,0,
/var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_4e89dxw8/FirstScan/FirstScan_page_014.png,7,trainer,Cinderace,,Raboot,Striker,"If this Pokémon is in your hand when you are setting up to play, you may put it face down in the Active Spot.",,Sereno,MEG,028/132,REND,Water ×2,,Colorless,"{""unreadable"": [], ""stage"": ""Stage 2"", ""types"": [""Fire""], ""setboxLetters"": ""MEG"", ""isPromo"": false, ""printYear"": 2025, ""layout"": ""trainer"", ""fallbackSuggestions"": {""name"": ""jt"", ""artist"": ""HRENO} itsico Oomm: -""}, ""cardType"": ""trainer""}",,1,,b826a628ae791b28993397797db26799c25a9d33,265,"fallback:artist_missing,fallback:card_number_missing,fallback:hp_missing"
/var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_4e89dxw8/FirstScan/FirstScan_page_016.png,8,trainer,Zeraora,,,,,,Thunder,,024/189,5ban Graphics,,,Colorless,"{""unreadable"": [], ""stage"": ""Basic"", ""types"": [""Lightning""], ""isPromo"": false, ""printYear"": 2021, ""layout"": ""trainer"", ""cardType"": ""trainer""}",,1,,24e654d0311f862461d0c677c654298136e72975,146,"fallback:artist_missing,fallback:card_number_missing,fallback:hp_missing"
/var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_4e89dxw8/FirstScan/FirstScan_page_018.png,9,trainer,Magnemite,,,,,,,,008/130,,,,,"{""unreadable"": [""set.name"", ""set.code"", ""printYear"", ""illustrator""], ""stage"": ""Basic"", ""types"": [""Lightning""], ""isPromo"": false, ""layout"": ""trainer"", ""remoteWarnings"": {""unreadable"": [""illustrator"", ""printYear"", ""set.code"", ""set.name""]}, ""cardType"": ""trainer""}",,1,,dd5c036c6e7de9cbd9ae55fd4ec609c5d888feb6,91,"artist_missing,fallback:artist_missing,fallback:card_number_missing,fallback:hp_missing,remote_unreadable:illustrator,remote_unreadable:printYear,remote_unreadable:set.code,remote_unreadable:set.name"
/var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_4e89dxw8/FirstScan/FirstScan_page_020.png,10,trainer,Lt. Surge's Bargain,,,,,,tise,MEG,120/132,Hideki Ishikawa,bee EAS See ge,Srteinee PERE Se SELES IEEE,,"{""unreadable"": [""hp"", ""types"", ""text.attacks"", ""text.weaknesses"", ""text.resistances"", ""text.retreatCost""], ""isPromo"": false, ""printYear"": 2025, ""layout"": ""trainer"", ""remoteWarnings"": {""unreadable"": [""hp"", ""text.attacks"", ""text.resistances"", ""text.retreatCost"", ""text.weaknesses"", ""types""]}, ""fallbackSuggestions"": {""attacks"": ""[{\""name\"": \""; Saeermrccereenness ee g eon hs OO\\nlenensarata: oe aes\\nNRE tee et Sst eee ee anne Se erate Gakuen ey st yt eer\\nintegers faswanogs ceases Deseo one Weare Poona coats t ene col\\neas a ooo\\nGet coronene Feschayes ny cheat a\\ndvesceachiplaver A ESE eae ats sPrizecard: tf:\\n\\npa aay >) ayertake: SRS SECIS nie RRC ea ' ards tty\\n\\nBecvane pierce sinter sa Prize:cards SAMA ces reesei ]\\neee SU Saas Gens fcard: If nie, you draw 4cards a\\nSoe ae aes SS ae Ce Ges y pelosi des\\n\\n2 eae ies Be SSEReOneaans\\nEu ieslies ee Ree oot\\nDai ey ae Georg: OE ee we Eoemeee cau:\"", \""cost\"": [], \""damage\"": \""\"", \""text\"": \""\""}]"", ""artist"": ""Ne eee"", ""set_code"": ""OU""}, ""cardType"": ""trainer""}",,1,,a0f93c67d70a717427c1c83baed43bae4fed920a,301,"fallback:artist_missing,fallback:card_number_missing,fallback:hp_missing,remote_unreadable:hp,remote_unreadable:text.attacks,remote_unreadable:text.resistances,remote_unreadable:text.retreatCost,remote_unreadable:text.weaknesses,remote_unreadable:types"
