2025-10-05 21:03:50,245 | INFO | pokedata.web | Web upload received: filename=FirstScan.pdf, content_length=6474433, dpi=300, limit=0
2025-10-05 21:03:56,693 | INFO | pokedata.pipeline | Converted /var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_o8fhe8dq/FirstScan.pdf into 74 image(s) at 300dpi
2025-10-05 21:03:56,701 | INFO | pokedata.pipeline | Processing 74 image(s) derived from /var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_o8fhe8dq/FirstScan.pdf (dpi=300, limit=0)
2025-10-05 21:04:16,545 | INFO | pokedata.pipeline | Wrote CSV /var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_o8fhe8dq/FirstScan_cards.csv with 74 row(s)
2025-10-05 21:04:16,550 | INFO | pokedata.web | Web processing complete: FirstScan.pdf -> FirstScan_cards.csv (74 rows)
2025-10-05 21:26:24,365 | INFO | pokedata.web | Web upload received: filename=FirstScan.pdf, content_length=6474433, dpi=300, limit=0
2025-10-05 21:26:28,715 | INFO | pokedata.pipeline | Converted /var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_bete3vd9/FirstScan.pdf into 74 image(s) at 300dpi
2025-10-05 21:26:28,723 | INFO | pokedata.pipeline | Processing 74 image(s) derived from /var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_bete3vd9/FirstScan.pdf (dpi=300, limit=0)
2025-10-05 21:26:43,839 | INFO | pokedata.web | Web upload received: filename=FirstScan.pdf, content_length=6474433, dpi=300, limit=0
2025-10-05 21:26:48,723 | INFO | pokedata.pipeline | Converted /var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_x87z3m2g/FirstScan.pdf into 74 image(s) at 300dpi
2025-10-05 21:26:48,734 | INFO | pokedata.pipeline | Processing 74 image(s) derived from /var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_x87z3m2g/FirstScan.pdf (dpi=300, limit=0)
2025-10-05 21:26:48,850 | INFO | pokedata.pipeline | Wrote CSV /var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_bete3vd9/FirstScan_cards.csv with 74 row(s)
2025-10-05 21:26:48,981 | INFO | pokedata.web | Web processing complete: FirstScan.pdf -> FirstScan_cards.csv (74 rows)
2025-10-05 21:27:08,613 | INFO | pokedata.pipeline | Wrote CSV /var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_x87z3m2g/FirstScan_cards.csv with 74 row(s)
2025-10-05 21:27:08,722 | INFO | pokedata.web | Web processing complete: FirstScan.pdf -> FirstScan_cards.csv (74 rows)
2025-10-05 21:43:49,086 | INFO | pokedata.web | Web upload received: filename=FirstScan.pdf, content_length=6474433, dpi=300, limit=0
2025-10-05 21:43:53,860 | INFO | pokedata.pipeline | Converted /var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_vj7rj38e/FirstScan.pdf into 74 image(s) at 300dpi
2025-10-05 21:43:53,872 | INFO | pokedata.pipeline | Processing 74 image(s) derived from /var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_vj7rj38e/FirstScan.pdf (dpi=300, limit=0)
2025-10-05 21:44:05,811 | INFO | pokedata.review | Saved 14 annotation(s) for 20251006-012648_firstscan-pdf/page_002.png
2025-10-05 21:44:14,468 | INFO | pokedata.pipeline | Wrote CSV /var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_vj7rj38e/FirstScan_cards.csv with 74 row(s)
2025-10-05 21:44:14,599 | INFO | pokedata.review | Stored run 20251006-014414_firstscan-pdf with 74 pages
2025-10-05 21:44:14,607 | INFO | pokedata.web | Web processing complete: FirstScan.pdf -> FirstScan_cards.csv (74 rows)
2025-10-05 21:50:08,977 | INFO | pokedata.web | Web upload received: filename=FirstScan.pdf, content_length=6474433, dpi=300, limit=0
2025-10-05 21:50:13,298 | INFO | pokedata.pipeline | Converted /var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata__ownqhp3/FirstScan.pdf into 74 image(s) at 300dpi
2025-10-05 21:50:13,307 | INFO | pokedata.pipeline | Processing 74 image(s) derived from /var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata__ownqhp3/FirstScan.pdf (dpi=300, limit=0)
2025-10-05 21:50:32,971 | INFO | pokedata.pipeline | Wrote CSV /var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata__ownqhp3/FirstScan_cards.csv with 74 row(s)
2025-10-05 21:50:33,030 | INFO | pokedata.review | Stored run 20251006-015032_firstscan-pdf with 74 pages
2025-10-05 21:50:33,036 | INFO | pokedata.web | Web processing complete: FirstScan.pdf -> FirstScan_cards.csv (74 rows)
2025-10-05 22:45:32,301 | INFO | pokedata.web | Web upload received: filename=FirstScan.pdf, content_length=6474433, dpi=300, limit=0
2025-10-05 22:45:36,867 | INFO | pokedata.pipeline | Converted /var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_412561cj/FirstScan.pdf into 74 image(s) at 300dpi
2025-10-05 22:45:36,880 | INFO | pokedata.pipeline | Processing 74 image(s) derived from /var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_412561cj/FirstScan.pdf (dpi=300, limit=0)
2025-10-05 22:45:37,269 | WARNING | pokedata.pipeline | Remote OCR failed for FirstScan_page_001.png: Responses.create() got an unexpected keyword argument 'response_format'
2025-10-05 22:45:38,512 | WARNING | pokedata.pipeline | Remote OCR failed for FirstScan_page_002.png: Responses.create() got an unexpected keyword argument 'response_format'
2025-10-05 22:45:40,383 | WARNING | pokedata.pipeline | Remote OCR failed for FirstScan_page_003.png: Responses.create() got an unexpected keyword argument 'response_format'
2025-10-05 22:45:41,511 | WARNING | pokedata.pipeline | Remote OCR failed for FirstScan_page_004.png: Responses.create() got an unexpected keyword argument 'response_format'
2025-10-05 22:45:43,376 | WARNING | pokedata.pipeline | Remote OCR failed for FirstScan_page_005.png: Responses.create() got an unexpected keyword argument 'response_format'
2025-10-05 22:45:44,523 | WARNING | pokedata.pipeline | Remote OCR failed for FirstScan_page_006.png: Responses.create() got an unexpected keyword argument 'response_format'
2025-10-05 22:47:16,514 | INFO | pokedata.web | Web upload received: filename=FirstScan.pdf, content_length=6474433, dpi=300, limit=0
2025-10-05 22:47:20,894 | INFO | pokedata.pipeline | Converted /var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_kr5pts_1/FirstScan.pdf into 74 image(s) at 300dpi
2025-10-05 22:47:20,900 | INFO | pokedata.pipeline | Processing 74 image(s) derived from /var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_kr5pts_1/FirstScan.pdf (dpi=300, limit=0)
2025-10-05 22:47:23,826 | WARNING | pokedata.pipeline | Remote OCR failed for FirstScan_page_001.png: Error code: 400 - {'error': {'message': "Unknown parameter: 'input[1].content[1].image_base64'.", 'type': 'invalid_request_error', 'param': 'input[1].content[1].image_base64', 'code': 'unknown_parameter'}}
2025-10-05 22:47:26,383 | WARNING | pokedata.pipeline | Remote OCR failed for FirstScan_page_002.png: Error code: 400 - {'error': {'message': "Unknown parameter: 'input[1].content[1].image_base64'.", 'type': 'invalid_request_error', 'param': 'input[1].content[1].image_base64', 'code': 'unknown_parameter'}}
2025-10-05 22:48:31,269 | INFO | pokedata.web | Web upload received: filename=FirstScan.pdf, content_length=6474433, dpi=300, limit=0
2025-10-05 22:48:35,649 | INFO | pokedata.pipeline | Converted /var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_j6mqog7f/FirstScan.pdf into 74 image(s) at 300dpi
2025-10-05 22:48:35,656 | INFO | pokedata.pipeline | Processing 74 image(s) derived from /var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_j6mqog7f/FirstScan.pdf (dpi=300, limit=0)
2025-10-05 22:48:36,864 | WARNING | pokedata.pipeline | Remote OCR failed for FirstScan_page_001.png: Error code: 400 - {'error': {'message': "Unknown parameter: 'input[1].content[1].image'.", 'type': 'invalid_request_error', 'param': 'input[1].content[1].image', 'code': 'unknown_parameter'}}
2025-10-05 22:48:39,305 | WARNING | pokedata.pipeline | Remote OCR failed for FirstScan_page_002.png: Error code: 400 - {'error': {'message': "Unknown parameter: 'input[1].content[1].image'.", 'type': 'invalid_request_error', 'param': 'input[1].content[1].image', 'code': 'unknown_parameter'}}
2025-10-05 22:48:42,020 | WARNING | pokedata.pipeline | Remote OCR failed for FirstScan_page_003.png: Error code: 400 - {'error': {'message': "Unknown parameter: 'input[1].content[1].image'.", 'type': 'invalid_request_error', 'param': 'input[1].content[1].image', 'code': 'unknown_parameter'}}
2025-10-05 22:50:27,026 | INFO | pokedata.web | Web upload received: filename=FirstScan.pdf, content_length=6474433, dpi=300, limit=0
2025-10-05 22:50:31,402 | INFO | pokedata.pipeline | Converted /var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_2myzjcpm/FirstScan.pdf into 74 image(s) at 300dpi
2025-10-05 22:50:31,413 | INFO | pokedata.pipeline | Processing 74 image(s) derived from /var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_2myzjcpm/FirstScan.pdf (dpi=300, limit=0)
2025-10-05 22:50:39,774 | WARNING | pokedata.remote_ocr | Remote OCR returned invalid JSON: Expecting value: line 1 column 1 (char 0)
2025-10-05 22:50:39,774 | INFO | pokedata.pipeline | Remote OCR succeeded for FirstScan_page_001.png
2025-10-05 22:50:47,723 | WARNING | pokedata.remote_ocr | Remote OCR returned invalid JSON: Expecting value: line 1 column 1 (char 0)
2025-10-05 22:50:47,724 | INFO | pokedata.pipeline | Remote OCR succeeded for FirstScan_page_002.png
2025-10-05 23:06:09,128 | INFO | pokedata.web | Web upload received: filename=FirstScan.pdf, content_length=6474433, dpi=300, limit=0
2025-10-05 23:06:13,559 | INFO | pokedata.pipeline | Converted /var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_58okfmy1/FirstScan.pdf into 74 image(s) at 300dpi
2025-10-05 23:06:13,568 | INFO | pokedata.pipeline | Processing 74 image(s) derived from /var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_58okfmy1/FirstScan.pdf (dpi=300, limit=0)
2025-10-05 23:06:13,774 | WARNING | pokedata.pipeline | Remote OCR failed for FirstScan_page_001.png: Responses.create() got an unexpected keyword argument 'response_format'
2025-10-05 23:06:14,940 | WARNING | pokedata.pipeline | Remote OCR failed for FirstScan_page_002.png: Responses.create() got an unexpected keyword argument 'response_format'
2025-10-05 23:06:16,866 | WARNING | pokedata.pipeline | Remote OCR failed for FirstScan_page_003.png: Responses.create() got an unexpected keyword argument 'response_format'
2025-10-05 23:06:18,068 | WARNING | pokedata.pipeline | Remote OCR failed for FirstScan_page_004.png: Responses.create() got an unexpected keyword argument 'response_format'
2025-10-05 23:06:20,418 | WARNING | pokedata.pipeline | Remote OCR failed for FirstScan_page_005.png: Responses.create() got an unexpected keyword argument 'response_format'
2025-10-05 23:06:21,722 | WARNING | pokedata.pipeline | Remote OCR failed for FirstScan_page_006.png: Responses.create() got an unexpected keyword argument 'response_format'
2025-10-05 23:07:52,109 | INFO | pokedata.web | Web upload received: filename=FirstScan.pdf, content_length=6474433, dpi=300, limit=0
2025-10-05 23:07:56,480 | INFO | pokedata.pipeline | Converted /var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_5wzbjl3m/FirstScan.pdf into 74 image(s) at 300dpi
2025-10-05 23:07:56,485 | INFO | pokedata.pipeline | Processing 74 image(s) derived from /var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_5wzbjl3m/FirstScan.pdf (dpi=300, limit=0)
2025-10-05 23:08:02,495 | WARNING | pokedata.remote_ocr | Remote OCR returned invalid JSON: Expecting value: line 1 column 1 (char 0)
2025-10-05 23:08:02,495 | WARNING | pokedata.pipeline | Remote OCR failed for FirstScan_page_001.png: Expecting value: line 1 column 1 (char 0)
2025-10-05 23:08:11,157 | WARNING | pokedata.remote_ocr | Remote OCR returned invalid JSON: Expecting value: line 1 column 1 (char 0)
2025-10-05 23:08:11,158 | WARNING | pokedata.pipeline | Remote OCR failed for FirstScan_page_002.png: Expecting value: line 1 column 1 (char 0)
2025-10-05 23:08:17,663 | WARNING | pokedata.remote_ocr | Remote OCR returned invalid JSON: Expecting value: line 1 column 1 (char 0)
2025-10-05 23:08:17,665 | WARNING | pokedata.pipeline | Remote OCR failed for FirstScan_page_003.png: Expecting value: line 1 column 1 (char 0)
2025-10-05 23:08:23,831 | WARNING | pokedata.remote_ocr | Remote OCR returned invalid JSON: Expecting value: line 1 column 1 (char 0)
2025-10-05 23:08:23,832 | WARNING | pokedata.pipeline | Remote OCR failed for FirstScan_page_004.png: Expecting value: line 1 column 1 (char 0)
2025-10-05 23:10:13,418 | INFO | pokedata.web | Web upload received: filename=FirstScan.pdf, content_length=6474433, dpi=300, limit=0
2025-10-05 23:10:17,817 | INFO | pokedata.pipeline | Converted /var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_flmx6s74/FirstScan.pdf into 74 image(s) at 300dpi
2025-10-05 23:10:17,824 | INFO | pokedata.pipeline | Processing 74 image(s) derived from /var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_flmx6s74/FirstScan.pdf (dpi=300, limit=0)
2025-10-05 23:10:25,220 | WARNING | pokedata.pipeline | Remote OCR failed for FirstScan_page_001.png: Remote OCR JSON failed validation: []: Additional properties are not allowed ('ability_name', 'ability_text', 'artist', 'attacks', 'card_number', 'evolves_from', 'notes', 'resistance', 'retreat', 'set_code', 'set_name', 'weakness' were unexpected); []: 'stage' is a required property; []: 'types' is a required property; []: 'set' is a required property; []: 'number' is a required property; []: 'text' is a required property; ['hp']: '' is not of type 'integer'; ['name']: '' should be non-empty
2025-10-05 23:10:32,792 | WARNING | pokedata.pipeline | Remote OCR failed for FirstScan_page_002.png: Remote OCR JSON failed validation: []: Additional properties are not allowed ('ability_name', 'ability_text', 'artist', 'attacks', 'card_number', 'evolves_from', 'notes', 'resistance', 'retreat', 'set_code', 'set_name', 'weakness' were unexpected); []: 'stage' is a required property; []: 'types' is a required property; []: 'set' is a required property; []: 'number' is a required property; []: 'text' is a required property; ['hp']: '70' is not of type 'integer'
2025-10-05 23:10:38,435 | WARNING | pokedata.pipeline | Remote OCR failed for FirstScan_page_003.png: Remote OCR JSON failed validation: []: Additional properties are not allowed ('ability_name', 'ability_text', 'artist', 'attacks', 'card_number', 'evolves_from', 'notes', 'resistance', 'retreat', 'set_code', 'set_name', 'weakness' were unexpected); []: 'stage' is a required property; []: 'types' is a required property; []: 'set' is a required property; []: 'number' is a required property; []: 'text' is a required property; ['hp']: '' is not of type 'integer'; ['name']: '' should be non-empty
2025-10-05 23:14:19,408 | INFO | pokedata.web | Web upload received: filename=FirstScan.pdf, content_length=6474433, dpi=300, limit=0
2025-10-05 23:14:21,653 | INFO | pokedata.web | Web upload received: filename=FirstScan.pdf, content_length=6474433, dpi=300, limit=0
2025-10-05 23:14:23,979 | INFO | pokedata.pipeline | Converted /var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_t89veh_x/FirstScan.pdf into 74 image(s) at 300dpi
2025-10-05 23:14:23,985 | INFO | pokedata.pipeline | Front-only mode: filtered 74 → 37 images
2025-10-05 23:14:23,986 | INFO | pokedata.pipeline | Processing 37 image(s) derived from /var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_t89veh_x/FirstScan.pdf (dpi=300, limit=0)
2025-10-05 23:14:26,162 | INFO | pokedata.pipeline | Converted /var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_p2wx_ibm/FirstScan.pdf into 74 image(s) at 300dpi
